Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"Nicaragua, Puerto Cabezas",,,,,,8.11,8.11,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nicaragua, Rama (Arlen Siu)",,,,,,8.11,8.11,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.86,8.23,8.23,8.23,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.65,8.65,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.44,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,8.67,20.88,20.88,21.33,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,8.45,7.81
"Nigeria, Apapa",81.32,85.63,88.24,96.74,95.74,93.74,77.27,74.17,74.57,82.77,97.69,101.91,104.27,74.19,76.4,72.37,80.35,90.26,99.39,99.12,107.65,107.61,104.93,109.42,121.28,123.11,116.93,122.15,121.92,129.91,126.57,132.3,141.55,113.1,142.93,118.49,107.42,121.38,117.7,123.83,113.85,115.02,115.46,121.11,107.21,105.57,87.5,105.16,105.12,115.46,111.66,100.74,100.08,97.65,87.52,88.04,93.34,78.23,80.92,70.45,78.21,77.7,77.89,72.42,72.85,75.92,81.77,78.68,78.42,96.76,108.96,118.55,124.75,113.39,116.05,109.93,115.75,125.99,115.97,120.87,123.4,136.8
"Nigeria, Calabar",9.35,9.35,9.4,9.4,9.4,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,8.16,8.16,8.16,8.16,8.16,8.16,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,8.5,8.5,8.5,8.5,8.5,8.5,,,,,,,,,,,,,,,,,,,6.81,6.81,6.81
"Nigeria, Lagos",91.39,91.1,94.78,93.97,121.27,115.12,127.85,126.01,135.88,117.29,111.82,93.51,92.96,103.17,103.58,98.45,105.13,115.33,109.28,103.45,110.47,102.4,100.16,99.8,75.89,70.75,75.45,69.01,52.9,56.33,62.1,62.11,79.15,84.85,68.78,106.56,105.2,110.35,98.62,109.92,121.34,116.56,106.41,95.63,94.07,95.65,79.41,70.82,70.82,70.83,70.83,79.68,79.68,79.68,87.54,84.3,84.3,98.87,101.49,97,99.01,85.4,85.4,60.7,60.7,60.73,60.73,60.72,77.65,87.29,80.64,80.86,81.1,87.13,89,89.41,90.43,95.12,95.5,107.4,102.69,93.22
"Nigeria, Lekki",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86,10.6,10.6,10.6,10.11,10.11,10.11,10.11,10.11,10.26,,,10.82,46.29,58.52,61.29,94.65,93.4,92.81,92.92,85.47,103.44,120,113.66,110.38,108.63
"Nigeria, Onne",58.39,50.59,52.21,51.89,48.7,43.44,39.55,45.33,41.5,51.4,50.7,49.21,49.2,48.01,47.81,44.24,46.2,62.65,63.29,55.59,68.7,61.97,54.91,60.47,59.28,70.21,72.81,54.87,53.82,72.67,82.44,83.08,76.69,73.06,73.76,72.71,71.27,63.1,58.68,68.93,82.23,81.42,85.53,84.3,84.32,84.37,84.47,74.58,75.22,75.9,60.97,61.06,59.79,61.57,59.05,62.98,64.4,64.73,79.36,63.53,79.52,80.1,80.24,80.79,71.45,73.36,66.69,68.11,70.83,76.97,72.25,70.87,76.98,79.92,81.18,83.78,90.72,107.36,107.77,126.43,124.1,125.15
"Nigeria, Port Harcourt",13.51,17.86,17.86,17.85,17.85,18.12,18.12,18.13,18.13,18.13,18.09,18.09,18.09,18.2,18.2,17.98,17.98,17.98,17.98,18,18,18,18,18,18,18.4,18.4,18.4,32.46,24.09,24.07,24.07,24.07,18.39,18.37,18.37,18.37,18.37,18.36,18.36,30.94,39.44,39.44,39.94,39.4,41.25,28.38,18.02,24.66,19.77,19.77,19.77,19.77,19.77,19.77,25.65,20.68,24.75,28.4,24.12,23.92,23.92,23.92,25.07,25.08,25.12,24.55,24.53,21.54,21.54,21.62,21.62,21.62,21.63,21.63,21.63,13.21,13.21,13.21,13.21,13.21,13.21
"Nigeria, Tin Can Island",27.27,37.04,34.54,36.71,63.75,63.8,71.76,71.53,85.27,81.44,87.1,98.38,96.53,78.98,93.63,93.96,85.91,104.8,114.5,113,111.29,101.84,99.12,98.02,109.73,96.16,87.04,93.27,103.53,108.4,130.59,132.22,133.94,150.81,147.45,155.36,152.29,163,169.04,160.43,149.63,131.99,128.59,127.39,126.48,131.52,121.18,124.05,123.13,129.08,122.66,106.08,95.42,102.72,114.32,118.9,128.45,116.4,112.83,109.88,91.24,94.6,94.82,95.84,100.64,100.6,135.77,105.29,105.1,105.27,107.23,100.81,88.27,96.24,92.06,79.59,79.91,89.27,88.71,86.86,116.76,136.73
"Nigeria, Warri",12.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
