Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"Albania, Durres",,,,10.34,11.15,11.15,10.32,10.61,15.18,15.3,27.32,30.88,30.59,26.78,30.03,21.75,27.38,22.18,22.18,22.19,22.83,30.59,27.35,26.25,26.25,38.56,35.77,25.05,32.24,33.2,39.07,28.67,35.34,25.79,35.73,36.36,35.85,37.13,37.04,37.01,37.08,31.13,41.82,42.48,45.63,37.53,34.46,33.84,33.81,18.31,29.89,33.49,34.35,33.13,42.23,41.59,37.27,37.24,30.24,30.24,30.7,30.7,32.79,32.77,28.87,26.5,27.14,26.93,26.3,25.7,25.7,28.08,27.37,27.37,34.81,27.37,31.64,31.58,31.58,26.13,26.12,33.04
"Algeria, Algiers",114.73,126.62,127.52,134.31,123.27,126.86,124.71,126.91,126.62,127.47,136.29,135.2,132.9,138.61,122.34,126.59,128.71,128.9,123.59,128.16,117.82,116.83,112.77,125.25,116.78,112.82,113.68,111.13,92.37,113.1,117.53,99.03,109.81,122.48,128.11,126.99,133.69,124.73,125.84,126.21,132.02,142.42,134.91,140.99,135.69,144.47,145.74,148.16,148.68,147.94,142.8,132.65,124.42,128.69,131.23,144.52,133.47,132.4,132.77,137.4,133.26,121.97,125.29,122.55,121.81,111.78,125.12,125.98,125.34,127.25,125.33,131.8,132.13,128.51,129.31,120.94,114.78,107.87,118.49,118.2,132.34,132.24
"Algeria, Annaba",44.48,52.74,52.74,41.28,40.62,44.72,48.34,48.21,40.5,28.74,19.23,25.62,32.36,27.07,29.89,30.52,36.86,29.93,35.84,54.08,47.03,38.16,33.77,26.97,26.97,35.64,35.64,35.66,37.27,30.12,33.87,32.88,30.89,32.92,32.88,30.65,30.87,35.01,39.93,39.93,32.71,32.87,32.87,39.15,38.39,38.48,38.36,50.51,50.47,52.67,54.29,53.09,45.04,51.77,54.59,56.74,48.24,56.57,56.87,57.1,57.1,57.07,55.92,55.47,50.95,48.19,52.35,52.35,52.32,52.97,54.41,54.21,55.97,55.96,57.89,51.58,57.68,57.71,58.33,58.33,56.39,55.72
"Algeria, Arzew",9.67,9.67,9.67,9.67,9.67,9.67,9.67,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.54,11.63,11.63,11.65,11.66,13.37,13.9,13.9,13.9,13.9,14.53,21.48,22.11,22.11,22.11,22.11,12.26,12.43,,10.35,,,,,,,,,,,,,,,,9.83,9.83,9.83,9.83,9.83,,
"Algeria, Bejaia",58.08,60.86,56.83,52.88,48.38,52.49,47.75,53.48,56.56,48.78,41.51,46.45,46.45,40.42,42.12,42.11,48.24,38.17,49.43,44.21,49.48,49.44,43.27,36.48,30.73,36.06,41.87,43.5,58.41,65.12,66.21,55.8,55.17,51.73,48.81,44.29,42.86,35.7,35.7,38.54,38.14,38.9,38.88,41.74,37.17,37.17,36.94,49.4,49.25,58.96,58.31,54.95,51.53,52.16,51.51,51.95,53.47,45.18,48.86,48.64,49.39,49.35,48.84,47.46,47.44,47.04,53.17,54.34,57.7,54.95,42.46,41.88,41.94,42.62,42.98,42.99,43.02,45.26,44.87,43.74,44.65,44.64
"Algeria, Djen Djen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,21.71,21.71,21.08,21.53,21.53,21.53,12.45,12.45,12.45,,,,,,,,,,,10.32,10.32,10.32,10.32,10.32,,,,,,,,,,,,,,,15.32,17.55,,13.34,18.8,18.72,18.68,11.56,11.56,11.56,11.48,11.48
"Algeria, Ghazaouet",,,,,,,16.19,12.87,12.87,15.67,11.03,13.43,13.43,7.53,7.53,7.53,7.53,7.53,,13.99,13.99,13.99,8.41,9.05,11.8,18.92,18.92,18.92,17.78,10.89,10.85,10.89,10.44,10.89,10.89,11.55,11.55,11.55,11.5,18.64,18.67,18.67,16.6,19.52,19.28,19.28,21.99,21.87,21.87,21.87,14.09,14.05,,,14.09,14.02,13.46,13.46,12.77,13.52,21.09,21.09,13.45,15.87,15.26,15.26,15.24,15.24,13.56,13.45,13.24,13.24,10.72,10.72,10.72,10.72,10.72,10.72,10.72,9.34,9.34,10.94
"Algeria, Mostaganem",48.12,48.12,48.12,47.32,26.51,26.48,27.69,26.48,34.3,32.03,24.3,20.57,20.57,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.98,12.37,12.37,12.37,12.37,,,,,,,,,,,10.04,10.04,10.04,10.04,10.04,10.04,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,,11.79,11.79,11.79,18.27,28.14,18.27,18.27,20.01,20.01,9.92,9.92,19.68,19.61,19.73,19.09,24.23,19.09,19.09,19.09,19.09,19.09,19.09,19.07
"Algeria, Oran",79.67,74.51,81.82,82.45,79.29,84.47,78.96,78.45,79,93.56,84.88,87.1,84,68.52,74.73,69.75,77.1,71.4,67.65,65.09,75.09,85.34,64.67,64.67,65.67,74.22,68.61,68.9,72.4,68.96,64.71,64.75,63.65,58.41,69.81,62.79,77.18,90.75,83.78,77.82,85.83,88.61,94.58,87.56,86.36,68.8,55.12,57.26,57.47,56.36,56.45,65.11,65.09,65.11,63.97,64,54.52,54.52,55.33,55.29,57.17,57.13,53.73,52.7,51.33,33.26,33.26,45.33,38.87,38.87,52.3,43.37,42.84,55.35,51.09,50.33,52.91,52.86,52.86,52.86,52.85,53.53
"Algeria, Skikda",61.83,77.09,73.07,82.31,75.58,79.02,64.33,74.14,70.58,59,51.41,52.01,55.52,51.11,53.92,53.92,64.88,56.85,77.74,73.64,70.67,66.61,61.43,54.14,43.54,43.12,49.08,43.28,45.96,42.59,49.86,48.73,48.88,52.16,46.87,44.95,45.16,47.87,47.55,47.55,47.26,44.1,43.88,44.55,38.61,38.61,54.02,54.25,54.25,54.26,53.51,47.56,46.19,59.12,58.1,58.11,57.52,57.47,67,56.5,43.96,43.93,50.4,49.91,49.95,55.68,65.97,65.85,60.11,68.12,64.95,66.03,64.76,62.21,66.6,62.8,62.84,60.64,59.44,59.5,54.43,53.75
"American Samoa, Pago Pago",65.68,65.66,86.42,81.55,80.91,80.91,81.59,69.73,69.73,71.22,64.71,64.31,61.53,61.53,48.73,48.73,48.73,43.01,39.51,39.51,39.99,45.16,38.13,38.13,38.13,38.4,38.4,37.76,37.13,37.13,48.43,48.43,44.21,41.98,41.98,47.82,47.81,47.81,47.78,50.03,51.33,44.72,50.41,50.48,50.74,50.74,51.38,51.38,51.87,52.44,52.34,54.07,54.07,54.07,54.07,54.7,58.81,58.81,58.8,58.56,58.58,58.58,58.98,57.16,55.27,55.27,55.27,55.27,59.82,56.53,57.18,57.81,57.81,57.96,51.86,51.8,51.8,51.8,52.14,52.13,52.13,52.13
"Angola, Cabinda",17.4,17.43,17.91,17.91,18.21,19.18,20.09,20.09,12.62,25.51,25.51,25.51,16.34,16.34,16.34,16.34,29.79,33.65,42.53,29.91,30.12,25.29,25.29,21.67,21.67,35.84,26.84,28.91,28.76,28.76,28.76,17.73,17.73,13.66,13.66,19.34,19.34,13.66,13.66,15.89,15.89,9.69,9.69,9.69,9.69,9.69,9.69,7.77,7.77,7.77,8.32,8.32,8.32,8.32,8.32,8.32,7.63,7.63,7.63,7.63,7.63,7.96,7.92,7.92,7.92,7.92,7.92,8.86,8.86,8.86,8.86,8.86,8.86,8.91,8.91,8.91,8.91,8.91,8.91,8.91,8.91,8.91
"Angola, Lobito",68.49,71.92,72.83,75.56,69.46,80.13,89.84,83.4,83.4,96.67,81.08,87.91,84.75,82.71,91.39,91.17,85.14,83.48,96.23,93.56,106.31,101.62,92.31,92,90.84,97.36,98.75,93.59,96.68,105.48,106.5,104.62,110.71,115.21,109.69,91.89,95.11,76.82,78.37,69.4,73.28,64.36,64.37,64.37,64.92,69.98,69.55,62.85,47.15,45.45,36.15,36.56,46.79,46.59,40.36,40.11,41.49,41.59,40.41,40.41,42.3,42.9,42.96,42.91,42.93,42.93,42.93,41.97,43.24,43.24,43.24,45.53,46.96,47.57,46.52,46.52,42.33,42.39,42.36,73.96,71.77,39.44
"Angola, Luanda",131.46,137.08,140.12,130.86,126.83,132.58,118.52,125.25,125.92,120.7,113.26,124.65,138.14,138.89,144.93,142.44,140.69,138.54,144.22,143.04,150.24,145.87,142.1,147.89,148.51,162.07,179.45,184.13,191.89,190.49,188.36,187.28,203.32,190.36,183.41,171.08,171.97,176.09,179.22,175.06,188.75,175.16,172.8,170.03,164.29,151.57,150.27,152.28,149.31,151.01,144.74,135.27,133.77,148.22,148.11,157,145.78,137.02,141.24,119.16,119.19,116.37,117.47,115.75,115.7,114.88,118.31,118.58,118.78,118.89,119.4,118.79,118.28,126.45,125.99,133.67,140.8,140.86,134.35,133.89,133.2,141.15
"Angola, Malongo",8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.76,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61
"Angola, Namibe",19.84,19.84,19.82,19.82,19.84,21.36,27.56,29.1,28.46,44.67,46.03,46.03,45.01,41.06,47.15,47.15,52.32,49.45,49.53,39.35,48.34,49.32,39.09,37.78,36.64,50.99,51.43,54.07,63.09,63.36,59.86,47.36,54.03,58.38,61.45,43.34,34.56,36.56,47.1,44.77,36.49,32.26,32.88,32.88,33.48,38.38,38.4,37.16,14.5,20.3,20.26,20.03,20.09,20.92,20.92,21.16,20.06,20.06,20.06,20.06,20.06,19.51,19.51,19.51,19.51,19.51,19.51,19.55,33.16,33.16,33.16,35.44,36.88,37.48,36.44,36.43,32.21,32.27,32.24,31.92,31.92,29.31
"Angola, Porto Amboim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Angola, Soyo",35.86,43.56,43.61,43.49,44.92,51.96,38.97,38.82,43.09,36.94,36.9,36.9,33.41,33.41,38.08,37.86,51.57,52.19,52.35,44.86,48.92,53.45,53.45,51.57,40.46,52.81,41.41,42.84,59.13,54.41,54.39,46.61,46.61,39.57,37.6,37.45,36.33,38.92,38.27,48.43,46.98,38.26,38.26,38.24,38.22,38.22,37.9,24.6,24.6,37.39,37.22,37.22,37.22,37.22,37.22,37.22,26.51,26.51,26.51,26.51,26.51,26.51,26.51,26.51,25.66,25.66,28.25,28.23,28.23,28.23,28.23,28.23,28.23,28.25,28.25,28.5,28.54,28.54,28.54,28.54,28.54,28.54
"Anguilla, Anguilla",13.7,12.13,,,,17.34,17.34,,,,,,,,,,,,,12.27,,,,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,27.12,31.67,31.67,31.58,32.31,32.31,32.31,32.29,32.29,32.29,32.29,32.29,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.66,21.66,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda, St John's (AG)",41.95,48.44,48.48,48.48,47.84,47.84,54.52,47.74,51.08,45.84,45.84,45.84,45.84,46.07,46.07,46.07,45.83,45.83,45.83,39.44,40.07,40.07,40.07,41.35,41.34,41.34,41.34,41.34,43.2,43.2,46.7,46.7,46.47,46.47,46.47,41.34,42.44,42.5,34.59,33.49,33.49,23.84,23.84,23.84,25.71,25.71,33.38,33.38,33.38,25.71,25.71,25.71,24.44,32.13,32.35,31.71,31.71,31.72,31.72,31.71,31.71,31.71,31.77,32.4,44.06,44.09,44.06,44.06,45.58,45.58,45.57,45.57,45.57,45.62,45.62,45.62,45.62,45.61,45.61,45.61,45.63,45.68
"Argentina, Bahia Blanca",,,,27.61,22.44,22.44,19.27,20.67,19.22,19.22,20.7,21.18,,41.05,25.61,13.06,13.06,34.45,35.31,15.09,18.82,26.33,26.33,43.72,43.72,26.51,49.47,49.32,53.01,55.94,49.65,52.6,48.96,36.34,36.98,36.98,36.98,36.98,39.08,40.57,37.34,37.49,37.51,37.56,37.76,37.28,37.28,37.28,37.28,37.23,37.23,43.69,43.73,51.56,51.61,51.61,51.61,51.61,48.98,48.94,50.18,48.96,48.88,20.46,19.34,25.7,19.34,19.34,19.34,19.34,20.01,20.01,20.01,19.86,19.86,19.86,19.86,19.86,26.66,19.86,19.86,19.86
"Argentina, Buenos Aires",273.35,269.62,272.76,268.97,259.96,260.02,255.42,254.33,265.07,277.35,285.11,290.39,285.41,265.49,270.8,268.13,275.11,281.32,276.07,274.7,274.69,274.04,250.47,260.24,250.26,255.7,259.57,262.68,261.01,274.6,258.84,256.49,268.75,274.43,268.61,267.66,268.69,266.35,239.36,230.29,238.1,239.69,237.01,228.32,223.02,225.38,226.02,225.86,226.24,223.78,237.33,238.06,224.54,226.95,227.66,224.8,206.03,206.03,199.06,199.3,199.29,199.21,199.62,203.99,211.74,208.78,208.94,208.87,211.56,214.18,214.25,221.41,227.7,228.06,222.79,225.88,239.4,242.51,245.45,244.39,245.36,243.61
"Argentina, La Plata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.53,28.52,28.52,29.01,28.89,28.89,28.89,35.78,32.99,32.99,32.99,32.99
"Argentina, Mar del Plata",26.24,26.24,22.55,22.55,11.8,11.8,13.32,13.32,15.68,15.68,10.25,10.52,10.52,17.88,10.52,19.81,19.81,11.48,11.13,11.13,11.13,,,,,,10.49,,,,,,,,,,,13.74,13.74,13.74,13.74,14.41,21.28,24.42,24.42,20.15,20.15,21.91,14.95,14.95,14.88,23.77,19.4,19.4,18.54,11.74,11.74,11.74,13.74,13.74,,11.36,13.11,13.11,13.11,13.11,13.11,13.11,13.11,15.72,12.91,11.12,11.12,11.33,19.9,19.89,19.89,19.89,17.96,11.16,11.16,11.16
"Argentina, Puerto Deseado",41.22,41.69,38,22.55,11.8,11.8,13.32,13.32,15.68,15.68,13.11,12.85,12.85,17.88,10.12,18.8,18.8,10.12,12.45,12.48,12.48,12.48,12.48,12.48,12.48,12.48,12.48,11.79,11.79,11.33,11.33,11.33,11.33,,11.33,11.33,11.33,10.89,10.89,10.89,10.89,10.89,10.89,14.54,14.54,14.54,14.54,13.75,13.11,13.11,13.11,17.03,15.9,12.6,11.74,11.74,11.74,11.74,13.74,13.74,,11.36,13.11,13.11,13.11,13.11,13.11,13.11,13.11,15.72,12.91,11.12,11.12,11.33,11.33,11.16,11.16,11.16,11.16,11.16,11.16,11.16
"Argentina, Puerto Madryn",47.91,48.17,38,42.87,38.68,38.71,37.12,38.52,32.66,32.66,32.02,27.65,27.65,33.89,26.44,33.98,33.98,36.19,34.89,29.23,29.92,37.42,37.52,19.98,19.98,19.98,19.98,42.16,43.37,48.38,48.36,48.36,21.82,,35.31,35.31,35.31,36.25,38.35,39.84,36.6,36.76,36.77,39.07,39.11,38.63,38.63,37.84,37.21,37.21,37.21,40.44,39.36,47.93,47.96,47.96,47.96,47.96,45.46,45.42,42.63,41.42,41.34,12.91,12.91,19.27,12.91,12.91,12.91,12.91,13.58,13.58,13.58,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43,13.43
"Argentina, Rosario",,,,,,,11.25,11.25,,,12.04,11.36,14.11,14.11,14.11,14.11,11.95,13.23,21.84,21.84,25.57,24.61,24.61,24.61,24.61,24.79,30.39,30.39,30.39,30.39,25.99,25.99,25.99,25.87,25.87,25.87,25.13,25.76,25.76,25.76,25.76,26.43,32.66,30.43,47.68,47.29,43.92,43.96,43.67,43.67,43.6,43.6,42.63,42.63,42.63,41.99,35.83,35.83,35.83,35.83,35.83,35.83,35.55,35.55,35.72,35.72,35.72,35.72,35.72,35.72,35.68,35.68,35.68,35.73,35.73,35.62,35.62,35.62,42.45,49.95,50.27,50.27
"Argentina, San Antonio Este",11.25,11.25,,,,11.25,,,12.04,12.04,,,,,,,,11.84,,,,,,,,,,,,17.39,11.15,,,11.81,,,,,,,,,,,,13.67,13.67,,,,,,,,,,,13.69,,,,13.69,,,13.78,13.76,,,,15.78,,,,13.65,13.65,,,,,,,
"Argentina, Ushuaia",27.38,27.85,28.86,17.72,29.85,29.88,35.27,35.27,37.89,38.66,36.76,30.86,30.86,23.78,29.52,34.4,34.4,18.6,21.32,19.55,18.95,21.08,17.49,17.49,17.49,17.45,17.45,17.45,17.45,15.98,15.96,15.96,15.96,17.38,17.38,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,16.84,13.98,13.98,13.98,13.98,13.98,13.93,13.93,13.93,13.93,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26,10.26
"Argentina, Zarate",,,,13.48,13.48,13.48,13.48,,,17.43,16.56,24.05,37.11,37.01,41.18,49.76,46.98,44.17,48.47,48.47,49.49,58.13,44.98,45.61,46.04,54.37,69.4,61.11,63.03,63.03,71.89,72.04,71.28,73.72,73.95,66.2,66.67,67.35,67.37,40.79,40.79,51.93,51.93,49.71,54.45,48.23,44.86,44.86,44.58,44.58,44.51,32.78,25.01,25.01,25.01,24.38,24.38,33.29,33.29,33.29,33.29,33.29,33.01,33.01,33.18,33.18,33.18,33.18,24.26,24.26,33.14,24.22,24.22,24.27,24.27,24.16,24.16,31.69,37.88,37.88,38.17,38.17
"Aruba, Barcadera",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.75,28.79,25.71,25.71,18.82,14.09,14.09,14.59,10.38,10.38,10.38,,,,13.41,14.04,13.49,24.6,24.6,24.6,23.96,23.72,12.85,12.85,12.85,12.85,8.48,8.48,8.48,11.8,11.8,11.8,9.38,9.38,9.38,9.38,9.38,9.38,9.38,9.38
"Aruba, Oranjestad",54.71,63.08,46.94,46.98,47.63,47.35,53.23,53.24,54.46,54.7,50.54,51.38,51.38,57.93,63.33,63.33,64.8,74.22,74.86,74.29,81.32,80.66,81.32,63.19,70.57,72.13,77.62,66.63,71.3,67.58,67.63,67.68,60.28,62.02,62.02,64.46,62.55,62.6,56.79,58.68,66.65,73.58,53.41,33.22,33.22,33.22,42.01,55.91,56.58,63.34,65.39,64.76,66.95,66.95,65.2,52.19,50.73,59.43,58.38,60.2,60.84,60.11,41.61,30.45,36.88,36.25,33.89,30.42,33.63,33.63,31.46,31.46,23,42.11,42.11,41.5,32.1,32.12,31.35,31.35,31.35,23.74
"Australia, Adelaide",108.93,97.36,97.41,97.48,101,113.88,121.53,124.19,124.25,122.46,106.79,105.52,101.54,98.06,86.61,88.23,88.03,90.62,90.11,106.78,106.03,101.51,102.16,88.72,88.7,102.38,102.34,110.72,113.99,116.27,113.88,113.32,118.77,123.13,117.63,123.24,129.47,127.8,126.72,131.29,136.65,135,135.56,141.4,137.06,132.54,138.33,128.34,128.56,130.35,129.26,122.05,121.49,119.23,135.96,125.39,130.63,131.49,133.94,134.19,124.31,124.73,120.54,120.55,120.85,119.98,119.1,123.78,124.82,113.6,114.03,113.79,112.84,112.95,109.63,107.61,113.07,112.55,110.97,111.12,110.18,111.58
"Australia, Bell Bay",45.92,48.61,48.61,48.61,48.71,44.82,44.82,32.09,32.09,32.09,30.23,30.23,30.23,30.23,30.23,38.8,26,28.48,28.47,38.75,41.33,42.65,42.81,34.89,31.17,,,,,17,17,17,21.07,21.07,21.11,21.11,19.84,19.84,19.84,21.11,21.11,21.11,21.11,33.74,37.51,37.51,37.51,22.33,22.33,35.05,27.45,27.04,27.02,27.36,27.42,27.05,29.79,30.15,32.72,35.52,13.64,13.64,13.64,13.64,13.64,13.64,13.64,,,,11.05,15.3,15.3,15.31,15.31,30.25,30.49,30.7,30.7,31.27,31.29,31.29
"Australia, Brisbane",257.87,255.78,253.16,245.96,252.01,262.85,256.8,270.57,274.82,289.37,292.03,269.22,254.38,252.41,240.48,240.51,233.91,244.3,247.33,240.46,235.68,225.51,240.41,240.6,246.14,223.43,227.81,237.67,258.08,250.77,276.34,273.28,273.97,276.75,276.08,267.36,261.74,251.83,253.59,257.12,253.14,242.6,246.33,248.69,250.83,235.31,237.87,241.65,241.26,235.44,237.3,239.6,238.42,235.62,235.07,242.87,234.37,228.86,238.77,246.9,263.03,264.25,254.31,253.63,259.69,273.01,279.6,284.24,268.54,260.21,264.48,237.13,246.39,239.65,235.26,235.77,236.81,240.31,237.42,245.64,247.27,246.26
"Australia, Broome",9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,16.59,9.87,9.87,9.87,9.87,9.87,17.61,17.61,17.61,17.61,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,8.79,16.09,16.09,8.79,8.79,8.79,8.79,8.79,8.79,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia, Burnie",35.67,26.67,36.4,36.4,36.4,36.4,36.4,43.98,46.09,45.78,37.55,45.3,45.3,47,48.27,32.71,32.71,32.71,32.71,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,19.59,33.37,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88,18.88
"Australia, Cairns",,,,,,,,,,,,,,,,,,,,,,,,,,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,,,,,,,,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,,,,,,,,,,,,,,,,,,,
"Australia, Dampier",9.22,9.22,9.22,9.22,9.22,9.22,9.22,9.22,17.77,18.09,18.09,19.98,13.9,23.8,13.9,13.9,13.9,13.9,13.9,13.9,13.9,7.57,7.57,7.57,8.21,23.23,23.23,23.23,10.7,10.7,10.7,10.7,10.7,10.7,10.7,8.98,8.98,,,,,,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,7.28,12.16,12.16,15.02,25.58,25.58,21.38,16.33,16.02,20.85,20.85,20.85,23.2,23.06,23.06,23.06,24.28,24.28,24.28,24.28,24.28,24.28
"Australia, Darwin",35.27,32.88,37.42,37.42,37.42,37.42,37.42,36.17,44.73,44.75,44.75,57.29,35.1,35.1,36.37,36.37,42.48,52.83,52.68,52.68,52.68,45.41,45.92,45.97,46.44,40.22,42.43,42.43,42.43,42.5,42.58,43.32,45.23,45.31,45.67,45.57,47.95,47.92,48.58,55.08,55.69,55.69,55.72,55.73,41.45,32.76,32.76,32.76,32.76,32.76,41.74,41.74,41.74,41.74,41.78,39.11,39.11,28.9,28.9,36.69,36.72,36.72,30.84,28.14,30.22,30.22,27.62,27.62,27.44,28.34,28.41,28.65,28.65,29.33,29.33,29.33,29.04,29.04,29.04,29.87,30.07,30.07
