BeneficialOwnership_Label,Antigua and Barbuda_Number_of_ships_Value,Bahamas_Number_of_ships_Value,Barbados_Number_of_ships_Value,China_Number_of_ships_Value,"China, Hong Kong SAR_Number_of_ships_Value",Cyprus_Number_of_ships_Value,Denmark_Number_of_ships_Value,Germany_Number_of_ships_Value,Greece_Number_of_ships_Value,India_Number_of_ships_Value,Indonesia_Number_of_ships_Value,Iran (Islamic Republic of)_Number_of_ships_Value,Italy_Number_of_ships_Value,Japan_Number_of_ships_Value,Liberia_Number_of_ships_Value,Malta_Number_of_ships_Value,Marshall Islands_Number_of_ships_Value,Norway_Number_of_ships_Value,Panama_Number_of_ships_Value,Portugal_Number_of_ships_Value,Republic of Korea_Number_of_ships_Value,Russian Federation_Number_of_ships_Value,Saudi Arabia_Number_of_ships_Value,Singapore_Number_of_ships_Value,United Kingdom_Number_of_ships_Value,United Republic of Tanzania_Number_of_ships_Value,United States_Number_of_ships_Value,National flag_Number_of_ships_Value,Foreign flag_Number_of_ships_Value,Total all flags_Number_of_ships_Value
"World",,1224,,7588,1937,925,486,,605,,2884,326,,1012,5756,1875,4266,1049,7237,1124,875,1740,224,2909,610,,,27994,31782,62109
"Africa",,24,,0,4,6,0,,0,,1,0,,0,54,9,19,0,92,0,0,3,2,7,0,,,538,452,1021
"Americas",,271,,3,10,30,14,,1,,2,0,,0,244,43,381,23,235,14,1,7,0,28,84,,,1808,1800,3657
"Asia",,208,,7529,1802,137,33,,14,,2815,274,,1000,2407,347,1945,37,5790,99,850,70,221,2459,83,,,19618,16789,36749
"Europe",,693,,0,91,741,437,,577,,13,10,,4,2950,1460,1830,988,888,996,7,1589,1,371,442,,,5865,12569,18475
"Oceania",,21,,1,0,1,0,,3,,0,0,,0,10,3,13,0,31,0,0,1,0,21,0,,,165,172,343
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Asia and Oceania",,229,,7530,1802,138,33,,17,,2815,274,,1000,2417,350,1958,37,5821,99,850,71,221,2480,83,,,19783,16961,37092
"Northern America and Europe",,933,,0,98,770,447,,578,,15,10,,4,3151,1499,2185,1009,959,1008,7,1596,1,398,520,,,6848,13956,20861
"Europe, Northern America, Australia and New Zealand",,952,,1,98,770,447,,578,,15,10,,4,3152,1502,2190,1009,966,1008,7,1596,1,419,520,,,6928,14032,21018
"Central and Southern Asia",,1,,1,0,0,0,,0,,0,252,,0,14,4,38,0,68,0,0,2,0,22,0,,,1550,283,1849
"Eastern and South-Eastern Asia",,144,,7528,1776,13,33,,0,,2812,7,,1000,1847,123,1227,32,4973,61,850,16,0,2401,77,,,16874,12290,29421
"Western Asia and Northern Africa",,67,,0,26,129,0,,14,,3,15,,0,555,227,687,5,794,38,0,52,223,36,6,,,1361,4419,5856
"Developing economies",,141,,7531,1764,32,35,,14,,2807,273,,2,1871,329,1321,20,3853,69,13,65,223,2207,62,,,19139,13401,32926
"Developing economies: Africa",,24,,0,4,6,0,,0,,1,0,,0,54,9,19,0,92,0,0,3,2,7,0,,,538,452,1021
"Developing economies: Americas",,31,,3,3,1,4,,0,,0,0,,0,43,4,26,2,164,2,1,0,0,1,6,,,825,413,1271
"Developing economies: Asia and Oceania",,86,,7528,1757,25,31,,14,,2806,273,,2,1774,316,1276,18,3597,67,12,62,221,2199,56,,,17776,12536,30634
"Developed economies",,1076,,2,143,883,449,,581,,24,11,,1002,3794,1533,2867,1028,3183,1040,845,1605,1,679,547,,,8855,18381,27319
"Developed economies: Americas",,240,,0,7,29,10,,1,,2,0,,0,201,39,355,21,71,12,0,7,0,27,78,,,983,1387,2386
"Developed economies: Asia and Oceania",,143,,2,45,113,2,,3,,9,1,,998,643,34,682,19,2224,32,838,9,0,281,27,,,2007,4425,6458
"Developed economies: Europe",,693,,0,91,741,437,,577,,13,10,,4,2950,1460,1830,988,888,996,7,1589,1,371,442,,,5865,12569,18475
"Developing economies excluding China",,124,,58,878,32,10,,14,,2789,272,,1,1317,305,1061,16,2618,50,10,63,223,2062,61,,,11666,9762,21740
"Developing economies excluding LDCs",,125,,7530,1763,31,35,,14,,2807,273,,2,1845,328,1314,20,3826,69,13,65,223,2207,62,,,18731,13266,32360
"LDCs (Least developed countries)",,16,,1,1,1,0,,0,,0,0,,0,26,1,7,0,27,0,0,0,0,0,0,,,408,135,566
"LDCs: Africa",,16,,0,0,1,0,,0,,0,0,,0,23,1,4,0,20,0,0,0,0,0,0,,,74,105,192
"LDCs: Asia",,0,,1,1,0,0,,0,,0,0,,0,3,0,3,0,5,0,0,0,0,0,0,,,328,26,364
"LDCs: Islands and Haiti",,0,,0,0,0,0,,0,,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,,,6,4,10
"LLDCs (Landlocked developing countries)",,0,,0,0,0,0,,0,,0,0,,0,0,3,4,0,3,1,0,3,0,0,0,,,232,65,301
"SIDS (Small island developing States) (UN-OHRLLS)",,106,,2,86,7,8,,3,,80,0,,0,510,74,277,16,357,15,4,6,0,1639,85,,,1779,2137,3974
"SIDS: Atlantic and Indian Ocean",,71,,0,6,0,2,,0,,1,0,,0,89,9,45,0,16,1,0,1,0,19,55,,,26,335,364
"SIDS: Caribbean",,14,,1,3,0,0,,0,,0,0,,0,4,2,4,2,22,0,0,0,0,0,0,,,46,114,170
"SIDS: Pacific",,21,,1,77,7,6,,3,,79,0,,0,417,63,228,14,319,14,4,5,0,1620,30,,,1707,1688,3440
"BRICS",,72,,7480,898,20,29,,1,,2691,273,,1,825,53,595,4,1662,21,3,1554,5,210,8,,,13461,5926,19533
"European Union (2020 …)",,362,,0,97,733,415,,568,,9,2,,1,2146,1283,1496,51,560,787,3,22,0,293,118,,,3101,9528,12649
"G20 (Group of Twenty)",,526,,7482,942,182,46,,9,,2705,16,,1003,2258,702,1528,61,4169,535,843,1592,218,605,386,,,17673,14577,32425
"G-77 (Group of 77)",,135,,7496,976,29,35,,11,,2796,268,,1,1348,127,956,20,2597,36,11,25,223,1896,38,,,17663,9395,27362
"OECD (Organisation for Economic Cooperation and Development)",,966,,2,137,762,439,,573,,24,6,,1002,3763,1557,2695,1018,3495,1017,845,64,1,671,480,,,7592,18667,26348
