Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"Oceania",2241,2198,2254,2821,2509,2799,2488,2662,2830,3182,2535,3001,3082,3335,3325,3926,4375,4261,4516,4758,4892,5831,6579,7198,9051,13166,14834,15277,17206,18014,19636,25297,29616,29187,28836,27264,30643,30260,30487,36153,45075,49245,51924,54420,55990,57653,64550,71894,79963,82296,72705,73546,82340,81652,83754,92345,113012,134537,153603,177194,227051,186334,253109,320333,304386,302075,294661,233798,238010,283017,311646,325457,302043,404341,477284,430294,401010,403902
"Individual economies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China",520,,550,760,820,1020,1150,1410,1650,2214,2726,3172,2571,1942,1913,2031,2250,2563,2681,2388,2340,2429,2307,2783,3693,5876,7108,7689,6943,7520,9955,13614,18099,22007,22321,22226,26139,27350,30942,39437,47516,52538,62091,71910,84940,91744,121006,148780,151048,182792,183712,194931,249203,266098,325596,438228,593326,761953,968978,1220456,1430693,1201612,1577754,1898381,2048714,2209005,2342293,2273468,2097632,2263346,2486695,2499457,2589952,3316022,3544435,3379044,3575795,3771842
"China, Hong Kong SAR",399,526,650,776,507,478,423,443,562,528,523,574,689,688,768,873,1012,1143,1324,1527,1744,2177,2515,2875,3436,5071,5968,6026,8484,9616,11453,15140,20323,21775,21343,22454,28337,30077,36081,48712,63493,73336,82390,98659,119586,135385,151465,173871,180914,188195,174864,174403,202683,191066,201928,228708,265543,292119,322669,349386,370242,329422,400692,455573,492907,535546,524130,510486,516635,549865,568456,534887,548773,669903,609925,573871,645537,753582
"China, Macao SAR",10,2,3,3,3,3,3,7,6,7,7,10,11,14,17,21,22,21,24,25,28,37,42,49,72,100,110,133,188,219,258,389,613,686,722,763,913,906,1046,1402,1505,1643,1701,1665,1766,1787,1866,1997,1996,2148,2141,2200,2539,2300,2356,2581,2812,2476,2557,2543,1997,961,870,869,1021,1138,1241,1339,1257,1406,1510,1586,1353,1620,1677,1654,1678,1734
"China, Taiwan Province of",17,17,73,98,117,128,93,123,119,143,156,156,164,201,221,332,434,450,537,641,802,1049,1428,1998,2914,4383,5518,5302,8155,9349,12682,16081,19842,22593,22182,25179,30547,30784,39897,53875,60695,66317,67245,76489,82036,85718,94078,113047,117331,123159,112467,123626,151357,125900,135080,150298,182432,198432,224017,246677,255629,203675,274601,308257,306409,311428,320092,285344,280321,317249,335909,330622,347193,447693,477778,432337,474369,640975
"Dem. People's Rep. of Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1000,1100,1200,1200,1325,1628,1407,1674,1686,1857,1960,1010,1020,1034,959,909,1098,651,637,708,826,1008,1066,1278,1338,1465,1685,2060,1995,2555,3705,3955,3835,4365,4152,3006,1770,251,280,90,80,160,330,360,611
"Japan",258,510,825,1351,1269,1275,1629,2011,2501,2858,2873,3456,4055,4236,4916,5452,6673,8451,9776,10442,12971,15990,19318,23995,29088,37017,55469,55819,67304,81083,98211,102299,130441,151495,138385,146965,169700,177164,210757,231286,264856,273932,287580,314793,339895,362265,397273,443116,410922,420956,387935,419354,479296,403496,416726,471817,565675,594941,646725,714327,781412,580719,769774,823184,798568,714613,690203,624921,645052,698329,738143,705564,641319,756032,746824,717256,707009,738337
"Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3245,3277,3231,5250,5911,6497,5334,5872,8812,8639,9670,12927,20093,27849,38250,47755,71172,43196,59971,84336,86449,84699,79460,45956,36685,48304,60956,57309,46447,60625,84593,78533,82471,78793
"Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,340,340,409,505,604,514,463,511,476,486,582,719,672,891,1321,1856,1673,1756,1979,1894,2058,1897,1441,1573,1764,1837,1986,1973,2752,2255,3385,5142,2852
"Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,469,560,610,674,689,716,718,739,722,661,348,394,361,353,473,423,569,462,454,536,521,524,616,870,1065,1543,1889,2539,1903,2899,4818,4385,4273,5775,4669,4916,6201,7012,7620,7576,9241,12539,15187,15783,15761
"Republic of Korea",19,14,23,11,28,40,24,18,25,23,14,20,32,41,56,87,118,173,251,321,457,624,836,1067,1625,3221,4462,4945,7716,10048,12722,15057,17512,21268,21853,24446,29245,30282,34715,47281,60696,62377,65016,71870,76632,82236,96013,125058,129715,136164,132313,143685,172268,150439,162471,193817,253845,284419,325465,371489,422007,363534,466384,555214,547870,559632,573091,526757,495426,573694,604860,542233,512498,644400,683585,632226,683609,709330
"Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,350,490,750,770,745,595,690,785,650,738,797,915,909,1399,1468,1409,1010,1195,1257,1360,1162,977,891,899,1198,1073,1174,1407,2150,2142,2449,1947,2489
"Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1000,2145,1880,1695,1000,590,1187,2506,2700,2850,3632,3870,4944,7156,8932,11945,5000,6500,13000,16500,16800,17500,10000,6964,7458,9706,10622,6477,9445,13550,16164,14974,15561
"Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2735,2722,2550,3430,4210,4025,3530,3235,2817,2708,2513,3189,4280,4749,5617,8029,10298,10735,11695,13254,11210,12000,11500,9443,8974,10079,10921,14930,13097,14081,15276,19229,19698,23654
"Asia and Oceania",9532,9404,12491,16881,14037,14172,14661,16616,18173,19211,19080,21556,22168,22235,23208,25662,28651,31714,34947,36371,40281,46864,53585,65902,78906,113029,202988,196407,238734,273960,309389,399779,539317,567756,511418,488700,533331,525021,547221,659108,771394,850690,942332,1022404,1137959,1219533,1393186,1634112,1687227,1776705,1635675,1777881,2150554,1964663,2115933,2514174,3153702,3726209,4392554,5106069,6025314,4798899,6206921,7525047,7790030,7950072,8014340,7095274,6797764,7571963,8361698,8136470,7751734,9946598,11055524,10385997,10890508,11763241
"Northern America and Europe",37535,38744,37710,51765,52198,52325,55824,61999,69573,77016,74071,79957,91004,96716,102351,111164,124776,135542,148348,157430,175775,200228,231133,254338,301942,412460,543561,591116,652625,737664,877112,1092778,1277931,1238754,1192371,1178532,1233793,1247289,1430096,1676154,1900217,2026447,2302844,2250584,2399549,2308651,2642447,3199814,3338411,3405666,3483348,3523570,3786173,3738577,3882066,4505751,5349457,5897876,6684540,7713796,8689796,6687717,7679803,9083841,8957262,9286075,9338204,8137995,7987421,8739074,9595419,9340611,8548814,10573012,11781941,11500421,11521080,12255144
"Europe, Northern America, Australia and New Zealand",39702,40871,39893,54497,54601,55002,58185,64512,72255,80018,76435,82785,93901,99871,105506,114878,128903,139554,152595,161901,180311,205659,237125,260912,310195,424615,557011,605226,668613,754227,895265,1116147,1305296,1265854,1219303,1204059,1262422,1275613,1458545,1709970,1942299,2072448,2351991,2302057,2452158,2361916,2702160,3266570,3413074,3482798,3551324,3592124,3863341,3815694,3961482,4592655,5456366,6025703,6830386,7882098,8907633,6866981,7923834,9393243,9251242,9578501,9619801,8360033,8213681,9008280,9892189,9651133,8838015,10962653,12239727,11913227,11904197,12639426
"Central and Southern Asia",2637,2579,2993,3823,2567,2409,2525,2945,3330,3036,2883,3081,3147,3372,3426,3776,4311,4464,4831,5175,4897,5253,5870,7185,6195,7619,14691,14583,17034,18433,18674,20805,26137,25751,34828,36370,32291,29158,22798,30594,31947,37040,47033,47177,59354,60355,67054,76699,86946,85209,76378,87633,108550,105378,115418,138975,177104,228353,289644,346653,451652,347195,460073,611105,583846,589042,597965,473053,460193,531945,589867,553551,460929,644689,767530,736397,775475,778628
"Eastern and South-Eastern Asia",3805,3571,5868,8383,6759,6490,6904,8193,9097,10046,10138,11830,12180,11623,12135,13300,14914,17464,19486,20171,23513,28218,32802,39696,49017,69586,102497,102207,126712,152094,184705,217022,280048,313912,300272,316613,366115,371077,423406,508363,607004,656412,712688,803281,891723,972844,1125231,1328711,1333990,1410938,1325610,1421568,1688792,1527691,1653055,1961892,2434824,2793324,3263218,3773572,4256330,3497615,4545596,5289484,5457544,5609466,5758054,5398237,5188281,5728232,6188854,6045581,6034898,7569708,8036896,7570074,8046128,8823831
