Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"Developing economies excluding LDCs",17237,15739,19170,24382,21357,21910,22525,24476,26184,27313,27042,28362,28789,28691,29290,32315,35403,37424,39775,41398,44023,49057,54619,62333,72357,108515,214620,201422,238983,272791,290706,413378,576000,569096,499575,463820,486777,462717,417630,509655,581736,666096,761190,799386,888173,942820,1089935,1297946,1408895,1509040,1389258,1513223,1867748,1759225,1889103,2252115,2847104,3487585,4190103,4889903,5843876,4599115,5928870,7308474,7656201,7828345,7870077,6834409,6481209,7213903,8037978,7849060,7415833,9626910,10901925,10311980,10861319,11795295
"LDCs (Least developed countries)",1416,1460,1885,2547,2453,2445,2687,2854,3093,2979,2809,3105,3296,3163,3329,3756,3746,3800,4257,4180,4532,5158,5492,5477,5439,7095,9164,7798,8568,9677,9597,12548,15187,13819,12956,12981,13587,13163,12170,13245,14972,16289,18119,16285,16531,17444,18508,23602,26573,26818,24856,27712,34783,33851,37429,42684,55524,74904,94741,116983,151759,117823,149956,185677,187912,195042,187321,151127,150113,178447,206412,197425,186300,235088,265383,258932,278633,308937
"LDCs: Africa",1050,1104,1207,1643,1635,1681,1870,2006,2252,2159,1992,2255,2392,2222,2355,2682,2674,2719,3176,3174,3538,4087,4482,4668,4688,6171,7891,6625,7202,8178,7948,10110,12043,10803,9852,10046,10578,10235,9660,10799,12021,13307,14575,12481,12132,12138,12616,15330,17160,16589,14921,15964,19630,19072,21677,25785,36036,50733,65262,84926,113928,82573,106685,133631,134026,135825,130618,91995,85864,109123,128465,115162,108577,143479,161496,164496,176626,196984
"LDCs: Asia",336,319,633,847,758,717,752,802,789,777,769,812,860,901,924,1023,1020,1031,1032,956,941,1013,949,736,682,836,1132,1032,1184,1288,1421,2142,2830,2779,2846,2685,2718,2669,2238,2155,2663,2740,3292,3523,4196,5072,5651,7974,9150,9848,9485,11270,14749,14436,15392,16441,18971,23573,28824,31338,37114,34478,42427,50814,52515,57800,55242,57805,62743,67764,76205,80449,76165,89495,101760,92837,100681,110551
"LDCs: Islands and Haiti",31,37,45,57,59,47,65,47,52,43,48,39,43,40,50,51,52,50,49,50,54,58,61,73,69,88,141,141,183,211,227,297,315,238,257,250,290,259,272,291,287,242,252,282,203,235,241,297,263,381,450,478,404,343,361,458,517,598,655,719,717,771,844,1233,1372,1417,1461,1327,1506,1559,1742,1814,1557,2115,2128,1600,1327,1403
"LLDCs (Landlocked developing countries)",532,519,615,825,864,856,983,1083,1127,1109,1021,1165,1225,1257,1317,1483,1651,1820,1861,1856,1961,2362,2571,2825,2600,3535,4616,3980,4895,5346,5098,6954,8386,7911,7623,7409,7482,7176,7805,9147,9880,10428,10708,9728,19713,20436,23302,28279,30627,31931,27899,28736,33984,34013,35888,44199,60222,78160,104122,133958,179852,125835,164638,220994,225349,231487,228596,156209,140068,163406,192659,191401,168225,220239,278272,280812,286686,300724
"SIDS (Small island developing States) (UN-OHRLLS)",2322,2135,2743,3737,3224,3014,3046,3349,3565,3936,3638,3534,3582,3646,3614,3786,3760,3747,3886,4122,4347,4790,5688,6040,6945,10347,19155,20083,21908,24901,27493,35083,46050,48429,44901,44566,45712,40569,40308,46769,58418,65161,71511,76227,80313,91352,115934,139685,147561,147963,131238,137553,165065,147885,148938,187313,230752,267691,318078,348449,394274,305964,394585,468574,462118,467432,471045,398444,373221,420411,464393,438791,404654,510314,588880,541324,577491,640849
"SIDS: Atlantic and Indian Ocean",71,67,60,79,86,97,104,82,97,109,102,104,79,94,95,127,113,107,112,109,114,123,173,180,164,197,390,369,352,410,430,499,545,429,456,459,496,554,828,1005,1164,1178,1436,1425,1538,1497,1615,1781,2141,1929,1956,1950,2001,2082,2306,2487,2653,2820,3073,3000,3347,2711,3077,3755,3690,4045,4246,3685,3471,3670,3765,3492,2827,3151,3728,3625,3742,3873
"SIDS: Caribbean",1486,1386,1606,1994,1949,1928,1938,2018,2200,2511,2340,2134,2182,2292,2232,2312,2493,2410,2403,2586,2606,2718,3374,3474,3794,5486,11572,13170,13753,14799,15447,18422,23879,24945,21751,20537,19133,15267,14947,14741,14956,16078,14567,12889,11922,11455,12656,14498,15105,15885,14658,15931,20089,19516,17118,19475,23352,28505,35433,37241,43524,26342,30547,44371,39598,43470,38342,31394,27499,29461,32752,29447,26187,34492,49381,43795,50112,50381
"SIDS: Pacific",764,683,1078,1664,1189,989,1004,1249,1268,1316,1197,1296,1321,1260,1286,1347,1153,1230,1371,1427,1627,1949,2140,2385,2986,4664,7193,6543,7803,9692,11617,16161,21626,23055,22693,23570,26083,24748,24533,31023,42298,47905,55508,61913,66853,78399,101663,123406,130315,130149,114624,119673,142976,126286,129514,165351,204747,236367,279572,308208,347403,276911,360962,420448,418830,419917,428457,363364,342250,387280,427876,405852,375640,472672,535771,493903,523637,586595
"BRICS",6940,6528,8007,10279,9172,9477,10058,10975,12098,13360,13157,15218,14767,14897,15693,16861,18190,19384,20793,21741,23389,25693,28012,31701,35176,51676,79802,86504,95534,112922,126048,160225,208105,213382,221172,225934,229537,218461,213565,251580,274535,293705,309971,267109,286772,304218,371986,432187,464296,508325,470110,493643,631456,635631,717901,915702,1209805,1549872,1933990,2360495,2893987,2298533,2998674,3756715,3904758,4054047,4120376,3696003,3440305,3823269,4283085,4209230,4070761,5383566,6007663,5657911,5930095,6262988
"European Union (2020 …)",12261,13990,15171,22177,22145,23370,25791,29121,31715,35272,35951,39599,46083,49847,52904,58162,65623,72901,79324,84929,95351,111030,129645,146337,179828,246939,321803,347065,384962,438027,522378,650107,740432,688538,666629,659149,679370,690889,842040,1005523,1117683,1185032,1379309,1359566,1466072,1365083,1571110,1956317,2008562,1981866,2092412,2091875,2168654,2202962,2363856,2851238,3422979,3689908,4153030,4920327,5477740,4253043,4767947,5585613,5335786,5535710,5653032,4929053,4969738,5466720,5992950,5825391,5475896,6640505,7180223,7222913,7174753,7663970
"G20 (Group of Twenty)",36091,35526,35305,46556,44785,44604,46171,50640,56421,62498,58349,63256,69433,72248,76103,82406,91953,99872,110066,114935,128479,145278,166251,184350,218130,297348,426492,454257,509178,584822,684679,858155,1076657,1125405,1032441,1003673,1077328,1074299,1164244,1344556,1561922,1673852,2282319,2289106,2440217,2430684,2752711,3249151,3371947,3528388,3484984,3600089,4021644,3859245,3998218,4624454,5579481,6310232,7266241,8356698,9519570,7420208,9146828,10906761,10944330,11189607,11342600,10100161,9690911,10644679,11640529,11359384,10464645,13224994,14682218,14044561,14304371,14974843
"G-77 (Group of 77)",16999,15467,18908,24288,21309,21925,22794,24702,26452,27466,27209,28757,29294,28876,29447,32637,35387,37184,39619,40869,43338,48058,52993,59503,67474,100606,203849,190375,222086,253937,263874,378153,523276,503375,432714,391527,399700,377478,321550,378636,425965,491098,570749,578545,629692,659392,770765,916800,1000092,1068739,965905,1062575,1332182,1264586,1371798,1677109,2167669,2739163,3345582,3961148,4850191,3789335,4911615,6133812,6412988,6537563,6548252,5593793,5256088,5882126,6627852,6454541,6048093,7935273,9129049,8595031,9009398,9646241
"OECD (Organisation for Economic Cooperation and Development)",39591,41178,40376,55323,54965,54800,58039,64604,72579,79652,75829,81694,92917,98577,103853,113375,128205,139986,153753,162652,182767,210294,243874,271031,323719,441301,587621,628190,702243,795753,951033,1167309,1381586,1367378,1302928,1295999,1386120,1410959,1619030,1899525,2180212,2331010,2657015,2704543,2888895,2837329,3215533,3860485,3990111,4099363,4152011,4262297,4623651,4469577,4635811,5333149,6336585,6947741,7837509,8984690,10021357,7834143,9164809,10704650,10561605,10830902,10920675,9677571,9560614,10448571,11352572,11043737,10171102,12486008,13836615,13595176,13651058,14508424
