Economy_Label,1948_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_in_millions_Value,2025_US_at_current_prices_in_millions_Value
"Central and Southern Asia",2268,3028,2216,3079,3128,2292,2409,2508,3055,3614,3348,3807,4654,4353,4591,4977,5766,5747,6426,6170,5613,5788,5897,5949,7087,9416,14943,21585,22833,25673,28386,28139,38359,41644,37969,43352,43119,39623,37720,38574,42244,49930,59408,64704,75403,71447,69240,83283,93058,94283,92370,97249,105518,108701,119960,147255,196502,263274,316152,392523,527226,430575,558385,703960,739579,711635,719635,618083,582476,704927,791417,751185,613034,899447,1077107,1013215,1073013,1131863
"Eastern and South-Eastern Asia",4762,4749,5392,8861,8553,8894,8492,9456,10561,12630,11008,11995,13431,14376,13629,15267,17027,18349,20615,23596,26185,29884,35821,38752,46258,72667,114366,111126,124683,140520,168993,227065,294209,314662,298919,300884,326508,325421,331961,407580,526505,595263,665803,738215,800183,882903,1029327,1261861,1322456,1339088,1096930,1201613,1505265,1395993,1478053,1753896,2203541,2531088,2915774,3310912,3915894,3144823,4173920,5089448,5299573,5462204,5446828,4677787,4474360,5119563,5777239,5576889,5314859,6808089,7346116,6744552,6965271,7419822
"Western Asia and Northern Africa",3107,3261,3235,4001,4399,4093,4125,4639,4793,5182,5296,5479,6067,6197,5969,6766,7200,7433,8168,7816,8682,9866,10997,12523,15004,22079,37404,49832,55739,73806,85469,99199,130026,154242,157853,143495,136623,120756,112527,120569,139963,138870,142433,144464,166874,174204,174465,208126,231933,240240,243037,236980,264405,257243,276135,327984,434279,518237,597915,751013,979671,790798,917194,1105427,1201632,1257892,1262328,1146168,1068250,1118116,1151823,1192669,1073039,1319569,1636539,1688460,1821801,1991663
"Developing economies",19541,19501,18828,26771,26869,24221,25351,27652,29302,33143,31700,32000,34796,34722,34190,36144,39638,41972,45076,46147,48230,52814,59788,66914,75534,104391,169080,197619,213162,252474,295550,351003,482790,540596,500880,465442,468060,444483,445627,508724,621279,675028,736788,820451,948373,1034743,1162791,1388190,1475737,1576231,1458560,1488569,1769328,1702999,1790449,2111172,2702468,3197136,3736769,4427186,5398966,4399724,5677056,6930730,7301968,7611669,7620356,6706134,6312621,7085740,7876081,7695651,7063572,9223734,10350158,9858595,10360979,11155443
"Developing economies: Africa",5034,5071,4509,6125,6398,5948,6442,7056,7308,8063,8017,7724,8551,8412,7785,8757,9702,10478,10568,10890,11345,12416,14699,16847,17457,23340,35716,45595,45713,55034,66076,68287,97378,110958,96417,86447,82805,75131,75264,84553,100671,98474,97230,94641,100578,96665,104975,126355,126243,131787,133130,128209,128137,132567,134283,164244,210103,254783,301820,377482,481589,416853,491801,571752,623349,651140,655909,566958,508022,524505,591073,589748,491447,616240,739815,717898,721116,788936
"Developing economies: Americas",7118,6446,6371,9159,9069,7887,8651,9149,9640,11150,10373,9764,10205,10742,11042,10991,11773,11936,13054,13613,14835,16306,18484,20737,22769,30060,52281,56765,59393,65756,73491,90487,125587,134143,109216,86312,89257,85477,88651,97609,110193,119351,129092,146682,174841,191439,224516,252818,277071,328596,345578,334355,388815,379983,355708,368528,449134,538085,640089,760886,929769,696172,897861,1099392,1129630,1169462,1161226,1033524,937261,1024925,1133254,1090701,917938,1268604,1542442,1456230,1498980,1592412
"Developing economies: Asia and Oceania",7389,7984,7948,11487,11402,10386,10257,11448,12353,13930,13309,14512,16041,15568,15364,16396,18163,19557,21453,21645,22050,24092,26606,29330,35309,50991,81083,95260,108057,131684,155983,192230,259826,295495,295247,292683,295999,283875,281713,326562,410414,457204,510465,579128,672954,746638,833300,1009017,1072423,1115848,979852,1026006,1252377,1190449,1300458,1578400,2043230,2404268,2794861,3288818,3987608,3286700,4287394,5259586,5548990,5791067,5803221,5105653,4867337,5536310,6151754,6015202,5654187,7338889,8067900,7684467,8140883,8774094
"Developed economies",42829,42780,45201,61839,61257,61239,64052,72079,80568,88565,83880,91752,103128,108737,117354,128696,144643,157770,173562,182870,205110,234975,271116,300244,358165,492467,693476,714396,815382,920500,1067573,1351140,1610881,1543860,1456463,1437672,1560090,1584614,1769894,2084788,2356572,2542188,2879460,2823814,2967896,2816024,3225200,3853788,4020929,4109321,4174444,4369219,4883535,4707068,4871659,5667630,6774375,7600116,8643049,9832800,11118777,8353016,9758441,11513854,11364193,11362873,11450557,10019959,9890929,10881434,11932616,11627570,10810532,13349059,15323877,14440360,14472048,15452161
"Developed economies: Americas",10827,10432,12771,16068,16125,16591,15627,17541,20153,20881,20302,23230,22525,22089,24090,25157,27807,31914,37924,39701,47766,52484,56894,65006,79107,98533,145023,142317,173078,202884,232765,279435,320211,344019,313683,335347,424884,433842,468638,518020,573323,613732,641357,634144,684279,743414,845276,939951,998095,1100966,1151519,1280820,1505232,1407580,1428925,1549439,1807219,2056779,2278904,2412600,2590654,1937092,2373753,2731590,2814682,2806928,2889813,2747119,2664893,2854081,3085354,3032639,2829826,3444029,3960299,3741554,3933712,4086382
"Developed economies: Asia and Oceania",2852,3342,3372,5448,5351,5079,5538,6177,6788,8039,6748,7190,8890,10089,10115,11783,13565,14428,15933,18476,21188,24243,29481,31308,35723,56890,90274,85292,95256,105433,122125,162499,202446,212346,199078,190212,210112,204627,203382,244478,299504,341527,376060,389831,391596,405851,471170,579516,615245,598260,483918,550007,666956,606755,616660,710169,859949,982062,1111386,1242961,1510750,1123223,1421305,1745107,1787310,1710884,1697118,1398759,1319912,1497838,1650281,1573944,1430090,1797641,2114686,1873169,1823852,1856402
